statistic,year,sex,age,unit,value
Percentage of Employments,2012,Female,25 - 29 years,%,53.6
Percentage of Employments,2012,Female,30 - 39 years,%,50
Percentage of Employments,2012,Female,40 - 49 years,%,50.3
Percentage of Employments,2012,Female,50 - 59 years,%,52.6
Percentage of Employments,2012,Female,60 years and over,%,50.4
Percentage of Employments,2013,Male,15 - 24 years,%,48.2
Percentage of Employments,2013,Male,15 years and over,%,49
Percentage of Employments,2013,Male,25 - 29 years,%,47.3
Percentage of Employments,2013,Male,30 - 39 years,%,50.2
Percentage of Employments,2013,Male,40 - 49 years,%,50
Percentage of Employments,2013,Male,50 - 59 years,%,47.7
Percentage of Employments,2013,Male,60 years and over,%,49.7
Percentage of Employments,2013,Female,15 - 24 years,%,51.8
Percentage of Employments,2013,Female,15 years and over,%,50.6
Percentage of Employments,2013,Female,25 - 29 years,%,52.7
Percentage of Employments,2013,Female,30 - 39 years,%,49.8
Percentage of Employments,2013,Female,40 - 49 years,%,50
Percentage of Employments,2013,Female,50 - 59 years,%,52.3
Percentage of Employments,2013,Female,60 years and over,%,50.3
Percentage of Employments,2014,Male,15 - 24 years,%,49
Percentage of Employments,2014,Male,15 years and over,%,49.5
Percentage of Employments,2014,Male,25 - 29 years,%,48.5
Percentage of Employments,2014,Male,30 - 39 years,%,50.8
Percentage of Employments,2014,Male,40 - 49 years,%,50.3
Percentage of Employments,2014,Male,50 - 59 years,%,47.8
Percentage of Employments,2014,Male,60 years and over,%,49.9
Percentage of Employments,2014,Female,15 - 24 years,%,51
Percentage of Employments,2014,Female,15 years and over,%,50
Percentage of Employments,2014,Female,25 - 29 years,%,51.5
Percentage of Employments,2014,Female,30 - 39 years,%,49.2
Percentage of Employments,2014,Female,40 - 49 years,%,49.7
Percentage of Employments,2014,Female,50 - 59 years,%,52.2
Percentage of Employments,2014,Female,60 years and over,%,50.1
Percentage of Employments,2015,Male,15 - 24 years,%,49.4
Percentage of Employments,2015,Male,15 years and over,%,49.9
Percentage of Employments,2015,Male,25 - 29 years,%,49.6
Percentage of Employments,2015,Male,30 - 39 years,%,51.1
Percentage of Employments,2015,Male,40 - 49 years,%,50.7
Percentage of Employments,2015,Male,50 - 59 years,%,48
